编号,剖面名称,数据采集时间,长度(km),剖面位置,,,,参考文献
50,黑水-邵阳,1986,,103.0000 ,32.0000 ,111.4589 ,27.2394 ,"崔作舟等, 1996"
51,思茅-中甸,1986,607,99.6771 ,27.9360 ,101.1111 ,22.6692 ,"张智等, 2006"
52,孟连-马龙,1986,600,99.1816 ,22.1583 ,103.6734 ,25.5376 ,"张忠杰等, 2005b"
53,成县-西吉,1986,242,105.7485 ,33.7566 ,105.196902?,37.5000 ,"李清河等, 1991"
54,西安-白云鄂博(H16),1987,300,109.8042 ,39.5483 ,110.0517 ,42.2569 ,刘昌铨等， 1991
55,奉节-观音垱（三峡I）,1988,300,109.5486 ,31.1590 ,112.3083 ,30.5280 ,"Zhang et al., 2009
陈步云等, 1994"
56,灵璧-郑州(H18),1989,410,117.6639 ,33.5488 ,113.4331 ,34.6402 ,数据已处理，结果未见发表
57,阿尔泰-阿尔金,1988,1100,89.7361 ,46.7994 ,94.8670 ,39.6066 ,"王有学等, 2004"
58,连县-港口,1989,400,111.8830 ,25.9565 ,115.2424 ,22.3563 ,"尹周勋等, 1999
Zhang et al., 2013"
59,阿尔金-龙门山,1989,1600,95.0244 ,40.6400 ,104.5162 ,29.9565 ,"王有学等，2005
崔作舟等, 1996"
60,灵台-阿木去乎,,460,107.6423 ,35.1289 ,102.6858 ,34.8128 ,"阂祥仪等, 1991"
61,格尔木-额济纳旗,1992,1050,93.4900 ,35.4617 ,101.2015 ,42.5913 ,崔作舟等， 1995
62,泰安-忻县(H19),1992,500,115.9400 ,36.7400 ,113.3200 ,38.1400 ,"邓晋福等, 2007"
63,北京-丰镇(H20),1992,342,117.0000 ,40.2000 ,113.1000 ,40.5000 ,"祝治平等, 1997"
64,繁峙-太仆寺旗 (H21),1993,300,113.2656 ,39.1888 ,115.2830 ,41.8771 ,"张成科等, 1998"
65,屯溪-温州,1993,380,118.2203 ,29.9185 ,121.1545 ,27.8876 ,"熊绍柏和 刘宏兵, 2000
Zhang et al., 2005"
66,沂源-大成 (L4),1993,300,118.0800 ,36.1695 ,116.6212 ,38.8443 ,数据已处理，结果未见发表
67,文安-齐河 (L3),1993,300,116.6542 ,38.8806 ,116.5139 ,36.2808 ,数据已处理，结果未见发表
68,寿光-文安 (L2),1993,300,118.9789 ,37.0097 ,116.6542 ,38.8806 ,数据已处理，结果未见发表
69,齐河-寿光 (L1),1993,300,116.5317 ,36.4556 ,118.9283 ,36.9856 ,数据已处理，结果未见发表
70,措勤-三个湖,1994,400,84.5153 ,34.2176 ,85.1439 ,30.7228 ,"熊绍柏和刘宏兵, 1997"
71,庄幕-张公渡,1994,420,115.5492 ,28.8445 ,117.328765?,32.9219 ,"董树文等, 1998"
72,文安-察右中旗 (H22),1994,430,116.6464 ,39.0000 ,112.5642 ,41.1275 ,"张成科等, 1997"
73,泉水沟-独山子,,700,81.2471 ,40.5546 ,79.5333 ,35.5270 ,"李秋生等, 2001"
74,玛沁-靖边,1997,980,99.1091 ,33.8643 ,109.3166 ,37.8254 ,"李松林等, 2001"
75,莎车-布尔津,1997,995,82.8750 ,41.0428 ,86.7720 ,48.9333 ,"Zhao et al., 2003"
76,INDEPTH III,1998,400,88.2957 ,33.7728 ,90.1196 ,30.4829 ,"Zhao et al., 2001"
77,麦盖提-托云,1998,295,74.8663 ,40.4711 ,78.2135 ,38.4706 ,"张先康等, 2002"
78,塔什库尔干-阿合奇,1998,535,75.2088 ,37.3677 ,78.8419 ,41.2123 ,"张先康等, 2002"
79,玉树-共和,1998,700,96.4606 ,31.9355 ,100.7086 ,37.4248 ,"Jiang et al., 2006
Galve et al., 2002
王有学和钱辉, 2000"
80,靖宇-朝阳川,1998,250,126.5942 ,42.2410 ,129.5016 ,42.9532 ,"张先康等, 2002"
81,长白-敦化,1998,270,128.1547 ,41.3981 ,128.1508 ,43.7942 ,"张成科等, 2002
张先康等, 2002"
82,西吉-中卫,1999,248,105.7237 ,38.0009 ,105.7857 ,35.8276 ,"李松林等, 2001"
83,富蕴-库尔勒,2000,597,85.3705 ,40.9628 ,88.9631 ,44.8500 ,"赵俊猛, 2012"
84,额敏-奇台,2000,620,82.9474 ,46.4144 ,93.3333 ,42.4818 ,"Zhao et al., 2021
张先康等，2008"
85,拜城-大柴旦,2000,1400,81.0154 ,41.7931 ,95.3467 ,37.7583 ,"Zhao et al., 2006
赵俊猛等, 2008"
86,花海子-格尔木,,353,94.3661 ,38.9961 ,94.7500 ,35.8977 ,"Zhao et al., 2013"
87,唐克-奔子栏,2000,649,99.1875 ,28.5245 ,102.4769 ,33.4502 ,"Wang et al., 2007"
88,竹巴龙—资中,2000,552,99.0308 ,29.9461 ,104.8075 ,29.9378 ,"王椿镛等, 2003
Wang et al., 2007"
89,措勤-申扎,,,85.1595 ,31.0168 ,88.7078 ,30.9300 ,未见发表
90,下察隅-共和,,,97.4650 ,28.6602 ,100.6200 ,36.2841 ,未见发表
91,措勤-樟木,2002,366,84.9781 ,31.2953 ,86.4247 ,27.7555 ,"郑度和姚檀栋, 2004"
92,安新-宽城,2002,320,115.8766 ,38.8889 ,118.5413 ,40.7846 ,"王夫运等, 2004"
93,磨坝-贵德,2003,380,99.6253 ,33.1524 ,101.4450 ,36.0729 ,"Zhang et al., 2013"
