Publication Year,Author,Title,Publication Title,DOI,Pages,Issue,Volume,Manual Tags
1999,"Yin, Zhou-Xun; Lai, Ming-Hui; Xiong, Shao-Bai; Liu, Hong-Bing; Teng, Ji-Wen; Kong, Xiang-Ru",Crustal Structure and Velocity Distribution from Deep-Seismic Sounding along the Profile of Lianxian-Boluo-Gangkou in South China,Chinese Journal of Geophysics,,383-392,3 ,42,#Cathaysia; #连县-港口; #DSS
1995,"Cui, Zuo-Zhou; Li, Qiu-Sheng; Wu, Chao-Dong; Yin, Zhou-Xun; Liu, Hong-Bing",The Crustal and Deep Structures in Golmud-Ejin Qi GGT,Chinese Journal of Geophysics,,15-28,S2,38,#DSS; #格尔木－额济纳旗
1993,"Xiong, Shao-Bai; Zheng, Ye; Yin, Zhou-Xun; Zeng, Xiao-Xian; Quan, You-Li; Sun, Ke-Zhong",The 2-D Structure and its Tectonic Implications of the Crusta in the Lijiang-Panzhihua-Zhehai Region,Chinese Journal of Geophysics,,434-444,4 ,36,#SE Tibet; #丽江-者海; #DSS
1992,"Yin, Zhou-Xun; Xiong, Shao-Bai",Explosion Seismic Study for the 2-D Crustal Strcutre in Xichang-Dukou-Mouding Region,Chinese Journal of Geophysics,,451-458,4 ,35,#SE Tibet; #DSS; #西昌-牟定
1991,"Xiong, Shao-Bai; Jin, Dong-Min; Sun, Ke-Zhong; Zou, Yi-Sheng; Fan, Xu-Bang; Du, Xiao-Gang",Some characteristics of deep structure of the Zhangzhou geothermal field and it's neighbourhood in the Fujian province,Chinese Journal of Geophysics,,55-63,1 ,34,#Cathaysia; #DSS; #云霄-安溪
1989,"Zheng, Ye; Teng, Ji-Wen",The structure of the crust and upper mantle in the Shuixian-Maanshan zone and some characteristics of the south part of the Tan-Lu Fault,Chinese Journal of Geophysics,,648-659,6 ,32,#North China Craton; #DSS; #随县-马鞍山
1988,"Liao, Qi-Lin; Wang, Zhen-Ming; Wang, Ping-Lu; Yu, Zhao-Kang; Wu, Ning-Yuan; Liu, Bao-Cheng",Explosion seismic study of the crustal structure in Fuzhou-Quanzhou-Shantou region,Chinese Journal of Geophysics,,270-280,3 ,31,#DSS; #福州-汕头
1987,"Cui, Zuo-Zhou; Lu, De-Yuan; Chen, Ji-Ping; Zhang, Zhi-Ying; Huang, Li-Yan",The Deep Structural and Tectonic Features of the Crust in Panxi Area,Chinese Journal of Geophysics,,566-580,6 ,30,#SE Tibet; #丽江-新市; #拉鲊—长河坝; #DSS
1986,"Hu, Hong-Xiang; Lu, Han-Xing; Wang, Chun-Yong; He, Zheng-Qin; Zhu, Liang-Bao; Yan, Qi-Zhong; Fan, Yue-Xin; Zhang, Guo-Qing; Deng, Ying-E",Explosion investigation of the crustal structure in western Yunnan Province,Chinese Journal of Geophysics,,133-144,2 ,29,#SE Tibet; #洱源-江川; #遮放-宾川; #DSS
1986,"Xiong, Shao-Bai; Teng, Ji-Wen; Yin, Zhou-Xun; Lai, Ming-Hui; Huang, Yi-Ping",Explosion seismological study of the structure of the crust and upper mantle at southern part of the Panxi tectonic belt,Chinese Journal of Geophysics,,235-316,3 ,29,#SE Tibet; #丽江-者海; #DSS
1983,"Teng, Ji-Wen; Xiong, Shao-Bai; Yin, Zhou-Xun; Xu, Zhong-Xin; Wang; Lu, De-Yuan; Jobert, Georges; Hirn, Alfred",Structure of the crust and upper mantle pattern and velocity distributional characteristics in the northern Himalayan mountain region,Chinese Journal of Geophysics,,525-540,6 ,26,#Tibet; #佩枯错-普莫雍错; #DSS
2014,"Teng, Ji-Wen; Li, Song-Lin; Zhang, Yong-Qian; Wang, Fu-Yun; Pi; Zhao, Jin-Ren; Zhang, Cheng-Ke; Qiao, Yong-Hu; Hu, Guo-Ze; Yan, Ya-Fen",Fine velocity structures and deep processes in crust and mantle of the Qinling orogenic belt and the adjacent North China craton and Yangtze craton,Chinese Journal of Geophysics,10.6038/cjg20141006,3154-3175,10 ,57,#DSS; #North China Craton; #Yangtze; #榆林-涪陵
2010,"Teng, Ji-Wen; Wang, Fu-Yun; Zhao, Wen-Zhi; Zhang, Yong-Qian; Zhang, Xian-Kang; Yan, Ya-Fen; Zhao, Jin-Ren; Li, Ming; Yang, Hui; Zhang, Hong-Shuang; Ruan, Xiao-Min",Velocity structure of layered block and deep dynamic process in the lithosphere beneath the Yinshan orogenic belt and Ordos Basin,Chinese Journal of Geophysics,10.3969/j.issn.0001-5733.2010.01.008,67-85,1 ,53,#DSS; #North China Craton; #延川-满拉都
2002,"Zhang, Cheng-Ke; Zhang, Xian-Kang; Zhao, Jin-Ren; Liu, Bao-Feng; Zhang; Yang, Zhuo-Xin; Hai, Yan; Sun, Guo-Wei",Study on the crustal and upper mantle structure in the Tianchi volcanic region and its adjacent area of ChangbaiShan,Chinese Journal of Geophysics,,812-820,6 ,45,#长白-敦化; #DSS
2021,"Zhao, Jun-Meng; Xiao, Wen-Jiao; Chen, Xin-Fa; Wang, Xiao-Jun; Song, Yong; Bian, Bao-Li; Zhang, Xian-Kang; Strelchenko, Irina P.; Xu, Qiang; Zhang, Heng; Zheng, Ying-Cai; Liu, Hong-Bing; Neupane, Bhupati; Ma, Zong-Jin",Mixed crystalline basement of Junggar basin revealed by wide-angle seismic evidence,Earth sciencesand subsoil use,,45167.00 ,1 (74),44,# Junggar; #DSS; #额敏-奇台
2010,"Zhang, Zhongjie; Klemperer, Simon","Crustal structure of the Tethyan Himalaya, southern Tibet: new constraints from old wide-angle seismic data",Geophysical Journal International,10.1111/j.1365-246X.2010.04578.x,1247-1260,3 ,181,#Tibet; #佩枯错-普莫雍错; #DSS
