Publication Year,Author,Title,Publication Title,DOI,Pages,Issue,Volume,Manual Tags
2001,"Zhao, W.; Mechie, J.; Brown, L. D.; Guo, J.; Haines, S.; Hearn, T.; Klemperer, S. L.; Ma, Y. S.; Meissner, R.; Nelson, K. D.; Ni, J. F.; Pananont, P.; Rapine, R.; Ross, A.; Saul, J.",Crustal structure of central Tibet as derived from project INDEPTH wide-angle seismic data,Geophysical Journal International,10.1046/j.0956-540x.2001.01402.x,486-498,2 ,145,#DSS; #INDEPTH III; #纳木错-双湖
2011,"Karplus, M. S.; Zhao, W.; Klemperer, S. L.; Wu, Z.; Mechie, J.; Shi, D.; Brown, L. D.; Chen, C.",Injection of Tibetan crust beneath the south Qaidam Basin: Evidence from INDEPTH IV wide-angle seismic data,Journal of Geophysical Research,10.1029/2010JB007911,B07301,B7,116,#DSS; #INDEPTH IV
2012,"Mechie, J.; Zhao, W.; Karplus, M. S.; Wu, Z.; Meissner, R.; Shi, D.; Klemperer, S. L.; Su, H.; Kind, R.; Xue, G.; Brown, L. D.",Crustal shear ( <i>S</i> ) velocity and Poisson's ratio structure along the INDEPTH IV profile in northeast Tibet as derived from wide-angle seismic data: <i>S velocity structure along INDEPTH IV profile</i>,Geophysical Journal International,10.1111/j.1365-246X.2012.05616.x,369-384,2 ,191,#INDEPTH IV
1983,Teng Ji-Wen; Sun Ke-Zhong; Xiong Shao-Bai; Yin Zhou-Xun Yao Hung; Chen Li-Fang,Deep seismic reflection waves and structure of the crust from Dangxung to Yadong on the Xizang Plateau (Tibet),Physics of the Earth and Planetary Interiors,10.1016/0031-9201(83)90089-4,293-306,4 ,31,#亚东-当雄; #DSS
1981,Institute of Geophysics Academia Sinica,Explosion seismic study for velocity distribution and structure of the crust and upper mantle from Damxung to Yadong of Xizang Plateau,Chinese Journal of Geophysics,,155-170,2 ,24,#亚东-当雄; #DSS
2003,"Wang, Chun-Yong; Wu, Jian-Ping; Lou, Hai; Zhou, Min-Du; Bai, Zhi-Ming",P-wave velocity structure of the crust beneath the western Sichuan-eastern Tibet,Science in China Series D-Earth Sciences (in Chinese),,181-189,,33,#竹巴龙—资中; #DSS
1991,"Min, Xiang-Yi; Zhou, Min-Du; Guo, Jian-Kang; Wei, De-Qing; Zhang, Yuan-Sheng; Hou, Xiao-Yu; Song, Jie",The crustal velocity structure in Lingtai-Amuquhu profile,Northwestern Seismological Journal,,29-36,Supp,13,#DSS; #灵台-阿木去乎
1987,"Lu, De-Yuan; Chen, Ji-Ping",Deep crustal structure in the Tuotuo River-Golmud region in the northern part of the Qinghai-Xizang (Tibet) Plateau,Geological Review,,122-128,2 ,33,#DSS; #沱沱河-格尔木
2003,"Li, Qiu-Sheng; Peng, Su-Ping; Gao, Rui; Fan, Jing-Yi","Seismic evidence of the basement uplift in the Bayan Har tectonic belt Qinghai, and its tectonic significance",Geological Bulletin of China,,782-788,10 ,22,#DSS; #沱沱河-格尔木
1990,"Lu, De-Yuan; Wang, Xiang-Jing",The crustal structure an deep internal processes in the Tuotuohe-Golmud area of the north Qinghai-Xizang Plateau,Bulletin of the Chinese Academy of Geological Science,,227-237,,21,#DSS; #沱沱河-格尔木
2015,"Li, Ying-Kang; Gao, Rui; Gao, Jian-Wei; Mi, Sheng-Xin; Yao, Yu-tao; Li, Wen-Hui; Xiong, Xiao-Song",Characteristics of crustal velocity structure along Qingling orogenic belt,Progress in Geophysics,10.6038/pg20150309,1056-1069,3 ,30,#DSS; #十堰-陇南
1991,"Li, Qing-He; Guo, Jian-Kang; Zhou, Min-Du; Wei, De-Qing; Fan, Bing; Hou, Xiao-Yu",The velocity structure of Chengxian-Xiji Profile,Northwestern Seismological Journal,,43.00 ,Supp,13,#DSS; #成县-西吉
1986,"Hu, Hong-Xiang; Chen, Xue-Bo; Zhang, Bi-Xiu; Song, Wen-Rong; Xiao, Zhi-Jiang; He, Zheng-Qin",On the interpretation of the DSS data of Suxian-Anyang Profile in Central China,Acta Geophysica Sinca,,37-49,1 ,8,#随县-安阳; #DSS
1986,"Chinese State Seismology Bureau (CSSB), Deep Exploration Group (DEG)","Results of Geophysical Investigation in China, Crust and Upper Mantle",,,,,,Review article; #元氏-济南; #DSS; #盐山-延庆; Key article; #海兴-丰镇; #乐亭-张家口; #宁河-涿鹿; #安国-遵化; #柏各庄-正蓝旗; #塘沽-密云; #任县-武清; #河间-武清
1988,Deparpment of Sciendific Programming and Earthquake Monitoring,Developments in the research of deep structures of China's continent,,,,,,Review article; #DSS; Key article
1994,"Chen, Xue-Bo",The research on characteristics of the deep tectonics in the Three Gorges and nearby area,,,,,,#DSS
2002,"Zhang, Cheng-Ke; Zhang, Xian-Kang; Zhao, Jin-Ren; Ren, Qing-Fang; Zhang, Jian-Shi; Hai, Yan",Study and review on crust -mantle velocity structure in Bohai Bay and its adjacent areas,Acta Seismologica Sinica,,428-435,4 ,24,#DSS; #德州-秦皇岛
2017,"Zhao, Jin-Ren; Fan, Zhen-Yu; Liu, Bao-Jin; Ma, Ce-Jun; Deng, Xiao-Guo; Song, Xiang-Hui; Liu, Bao-Feng; Wang, Shuai-Jun; Hai, Yan; Li, Yi-Qing",Velocity structure of the western North China basement from high-resolution wide-angle reflection/refraction profiles,Chinese Science Bulletin,10.1360/N972017-00562,4294-4306,36 ,62,#NE Tibet; #兰州-榆林; #铜川-阿拉善左旗; #DSS
2014,"Li, Ying-Kang; Gao, Rui; Yao, Yu-Tao; Mi, Sheng-Xin; Li, Wen-Hui; Xiong, Xiao-Song; Gao, Jian-Wei",The crust velocity structure of Da Hinggan Ling orgenic belt and the basins on both sides,Progress in Geophysics,10.6038/pg20140110,73-83,1 ,29,#DSS; #大兴安岭
2008,"Wang, Fu-Yun; Duan, Yong-Hong; Yang, Zhuo-Xin; Zhang, Cheng-Ke; Zhao, JinRen; Zhang, Jian-Shi; Zhang, Xian-Kang; Liu, Qi-Yuan; Zhu, Ai-Lan; Xu, Xi-Wei; Liu, Bao-Feng",Velocity structure and active fault of Yanyuan-Mabian seismic zone—The result of high-resolution seismic refraction experiment,Science in China Series D: Earth Sciences,10.1007/s11430-008-0098-0,1284-1296,9 ,51,#DSS; #盐源-马边
1988,"Chen, Si-Wen; Zhang, Suo-Xi; Tang, Rong-Hua; Liang, Zhong-Hua; Song, Wen-Rong; Tang, Jian-Min; Liu, Jian-Da; Song, Jian-Jun",Interpretation of the Fuliji-Fengxian DSS profile in Xiayangzi region,Chinese Journal of Geophysics,,637-648,6 ,31,#DSS; #符离集-奉贤
2007,"Bai, Zhiming; Zhang, Zhongjie; Wang, Yanghua",Crustal structure across the Dabie–Sulu orogenic belt revealed by seismic velocity profiles,Journal of Geophysics and Engineering,10.1088/1742-2132/4/4/009,436-442,4 ,4,#DSS; #庄墓-张公渡; #符离集-奉贤; #连云港-泗水; #随县-马鞍山
